,Star_name,Distance,Mass,Radius,Luminosity
0,Sun,0.000015813,1,1,1
1,Sirius,0008.6,2.1,1.71Â´,25.4
2,Canopus,0310,15,71,"13,500"
3,Alpha Centauri,0004.4,1.1,1.2,2
4,Arcturus,0037,1.1,26,170
5,Vega,0025,2.2,2.7,50
6,Capella,0043,2.6,12,150
7,Rigel,0860,23,78.9,"120,000"
8,Procyon,0011.4,1.5,1.9,7.7
9,Betelgeuse,0640[1],20,950,"60,000"
10,Achernar,0144,6.7,9.3,"3,000"
11,Hadar,0390,10.5,8.6,"42,000"
12,Altair,0017,1.8,1.8,10.5
13,Acrux,0320,18,8.9,"25,000"
14,Aldebaran,0065,1.5,44,520
15,Antares,0600,12,680,"75,000"
16,Spica,0260,11.43,7.47,"20,512"
17,Pollux,0034,1.9,8.8,43
18,Fomalhaut,0025,1.9,1.8,16.6
19,Deneb,"2,600",19,203,"200,000"
20,Mimosa,0350,16,8.4,"34,000"
21,Regulus,0077,3.8,3.1,290
22,Adhara,0430,12.5,14,"39,000"
23,Shaula,0700,14.5,8.8,"36,000"
24,Castor,0052,2.8,2.4,30
25,Gacrux,0088,1.5,84,820
26,Bellatrix,0240,8.6,5.8,"9,200"
27,Elnath,0130,5.0,4.2,700
28,Miaplacidus,0110,3.5,6.8,290
29,Alnilam,"2,000",32,42,"380,000"
30,Gamma Velorum,"01,100",9.0,6,"170,000"
31,Alnair,0101,4.0,3.4,260
32,Alioth,0081,2.9,4.2,110
33,Alnitak,01050,33,20,"120,000"
34,Dubhe,0120,4.25,30,300
35,Mirfak,0590,8.5,68,"5,000"
36,Wezen,"1,600",17,200,"82,000"
37,Sargas,0270,5.7,26,"1,800"
38,Kaus Australis,0140,3.5,6.8,360
39,Avior,0630,9.0,130,"60,000"
40,Alkaid,0104,6.1,3.4,"1,350"
41,Menkalinan,081,2.39,2.77,50
42,Atria,0390,7,92,"5,500"
43,Alhena,0109,2.8,3.3,120
44,Peacock,0180,5.9,4.8,"2,200"
45,Alsephina[2],0080,2.4,2.9,90
46,Mirzam,0500,13.5,10,"27,000"
47,Polaris,0430,5.4,39,"2,500"
48,Alphard,0180,3.0,50,780
49,Scheat,0196,2.1,95,"1,500"
50,Almaaz,0653,15,140,"43,000"
51,Rasalgethi,0360,2.8,280,"8,300"
52,Tau Ceti,011.9,0.783,0.893,0.52
53,Delta Pavonis,019.92,0.991,1.22,1.22
54,Ran,010.48,0.82,0.74,0.34
55,V382 Carinae,"08,900",20,485,"212,000"
56,Eta Carinae,"07,500",100,60â€“881,"5,000,000"
57,Delta Cephei,0887,4.5,44.5,"2,000"
58,Mu Cephei,"06,000",19.2,972,"135,000"
59,Titawin,044.25,1.27,1.48,3.57
60,Rho Cassiopeiae,"08,154",22,636-981,"347,000 - 530,000"
61,P Cygni,"05,545",30,76,"610,000"
62,La Superba,"01,000",,129 - 342,"2,472 - 5,800"
63,VV Cephei,"04,900",18.2,"516 - 1,050","200,000"
64,61 Cygni,011.41,0.7,0.665,0.153
65,R Doradus,0178,0.7 - 1.0,298,"4,350"
66,Polaris Australis,0281,1.59,3.74,38
67,R Coronae Borealis,"04,566",0.85,85,"10,000"
68,54 Piscium,036.1,0.76,0.94,0.52
69,Mira,0300,1.2,370,"9,000"
70,RW Cephei,"014,000",13.9,"1,158","417,000"
71,Lacaille 8760,012.87,0.6,0.51,0.072
72,V838 Monocerotis,"019,896",?,380 - 750,"15,000"
73,HD 140283,0190,?,1.4,3.83
74,II Pegasi,0130,0.8,3.4,1.06
75,VY Canis Majoris,"03,900",17,"1,420","178,000 - 270,000"
76,Pistol Star,"025,000",100,320,"1,700,000"
77,S Doradus,"0169,000",24,380,"910,000"
78,UY Scuti,"05,100",7â€“10,755,"86,300 - 87,100"
79,Barnard's Star,05.98,0.14,0.20,0.0035
80,Luhman 16,06.52,0.04,?,?
81,Proxima Centauri,04.25,0.12,0.15,0.0017
82,KIC 8462852,"01,470",1.43,1.58,4.68
83,R136a1,"0163,000",290,32,"8,710,000"
84,Melnick 42,"0163,000",189,21.1,"3,600,000"
85,WR 102,"018,134",19,0.39,"282,000"
86,VFTS 352,"0164,000",57.48,14.47,"330,000"
87,YBP 1194,"02,772",1.01,0.99,0.98
88,Gliese 1214,047.5,0.16,0.21,0.0033
89,NML Cygni,"05,251",50,"1,640 - 2,770","229,000"
90,VB 10,018.72,0.075,0.10,0.0004
91,WOH G64,"0163,000",<20,"1,540 - 1,730","340-589,000"
92,TRAPPIST-1,039.6,0.089,0.12,0.0005
93,2MASS J0523-1403,040.3,0.07,0.086,0.00013
94,WISE 0855âˆ’0714,07.27,0.003,?,?
95,Icarus,"014,400,000,000",33,?,"850,000"
96,0,SDSS J000013.54+255418.6Â [de],46.1,0.045820224,0.10173536999999999
97,1,2MASS J00040288-6410358,192.0,0.018137172,0.16750368999999998
98,3,2MASS J00242463-0158201,37.7,0.075412452,0.11201167000000001
99,5,2MASS J00274197+0503417,236.0,0.029592228,0.14797871999999998
100,7,2MASSW J0030300-145033,87.2,0.051547752,0.10070773999999999
101,8,2MASS J00332386-1521309Â [de],131.0,0.027683052,0.14695108999999998
102,9,2MASS J00345157+0523050,31.0,0.040092696000000004,0.09659721999999998
103,10,2MASS 0036+1821,28.6,0.040092696000000004,0.09659721999999998
104,11,2MASSW J0045214+163445,57.0,0.021955524,0.16647606
105,12,WISEP J004701.06+680352.1Â [fr],40.0,0.011455056,0.13359189999999999
106,13,2MASS J00501994-3322402Â [de],34.0,0.03818352,0.09659721999999998
107,15,2MASS J00584253-0651239Â [de],96.0,0.027683052,0.14695108999999998
108,17,2MASSI J0103320+193536,70.0,0.049638576000000004,0.10070773999999999
109,18,SDSSp J010752.33+004156.1Â [de],51.0,0.049638576000000004,0.10070773999999999
110,19,2MASSI J0117474-340325Â [de],163.0,0.01909176,0.16647606
111,20,2MASS J01415823-4633574Â [de],130.0,0.01909176,0.16544843
112,21,SDSS J015141.69+124429.6,70.0,0.044865636,0.09968010999999999
113,25,SDSS J020742.48+000056.2Â [de],111.0,0.044865636,0.09968010999999999
114,26,2MASS J02103857-3015313,101.0,0.014318820000000001,0.15722739
115,27,2MASS J02340093-6442068,155.0,0.01909176,0.16647606
116,28,2MASS J02411151-0326587Â [de],152.0,0.025773876,0.14489582999999998
117,29,2MASS J02431371âˆ’2453298,35.0,0.031501404000000004,0.10173536999999999
118,30,LP 771-21,53.0,0.074457864,0.11098404
119,32,Teegarden's star,12.578,0.07636704,0.13050900999999998
120,33,2MASS J02535980+3206373,184.0,0.06204822,0.19524969999999997
121,34,WISE J0254+0223,24.0,0.06204822,0.19524969999999997
122,35,DEN 0255-4700,16.2,0.07636704,0.09968010999999999
123,36,2MASS J03185403-3421292Â [de],45.0,0.046774812,0.09968010999999999
124,37,2MASS J03205965+1854233,47.0,0.084003744,0.11817744999999999
125,38,2MASS J03231002-4631237,192.0,0.021955524,0.17058658
126,39,SDSS J032553.17+042540.1,59.0,0.04295646,0.09762484999999999
127,40,2MASS J03264225-2102057Â [de],80.0,0.017182584,0.13359189999999999
128,41,2MASS J03284265+2302051Â [de],98.0,0.051547752,0.10070773999999999
129,42,2MASS J03341218-4953322,27.0,0.069684924,0.10687352
130,43,LP 944-20,20.9,0.069684924,0.14695108999999998
131,44,2MASP J0345432+254023,88.0,0.070639512,0.10790115
132,45,Teide 1,380.0,0.05250234,0.38844413999999994
133,46,2MASS J03510004-0052452,48.0,0.09736797600000001,0.13050900999999998
134,47,2MASS J03552337+1133437,29.8,0.01909176,0.13564716
135,49,2MASS J04151954âˆ’0935066,18.6,0.028637640000000002,0.09762484999999999
136,51,2MASS J04285096-2253227Â [de],85.0,0.07636704,0.11201167000000001
137,52,2MASS J04351612-1606574,34.0,0.0954588,0.12948137999999998
138,53,2MASS J04362788-4114465,142.0,0.037228932,0.20244310999999998
139,54,2MASS J04390101-2353083Â [de],29.5,0.045820224,0.09968010999999999
140,56,2MASS J04433764+0002040,82.0,0.021000936,0.18291813999999998
141,57,2MASS J04455387-3048204Â [de],42.0,0.061093632,0.102763
142,58,2MASS J04510093-3402150Â [de],69.0,0.00099277152,7.398935999999999
143,59,2MASS J05002100+0330501Â [de],44.0,0.061093632,0.102763
144,60,2MASS J05012406-0010452Â [de],64.0,0.020046348000000002,0.14181293999999997
145,61,2MASS J05160945-0445499Â [de],73.0,0.044865636,0.09968010999999999
146,62,2MASS J0523âˆ’1403,40.0,0.064911984,0.10379063
147,64,SDSS J053951.99-005902.0,41.62,0.058229868000000004,0.10379063
148,66,LSR 0602+3910Â [de],34.6,0.026728464,0.14489582999999998
149,67,2MASS J06085283-2753583,102.0,0.036274344,0.15517213
150,70,2MASS J06244595-4521548Â [de],39.0,0.053456928,0.10173536999999999
151,71,2MASS J06411840-4322329Â [de],65.0,0.063957396,0.10379063
152,72,DENIS-P J0652197-253450Â [de],51.0,0.07159410000000001,0.10790115
153,74,2MASS J07075327-4900503,60.0,0.068730336,0.10584589
154,75,UGPS J072227.51-054031.2,13.4,0.024819288000000002,0.10070773999999999
155,76,2MASSI J0727182+171001Â [de],29.6,0.039138108,0.09659721999999998
156,77,2MASS J07290002-3954043Â [de],25.8,0.035319756,0.09659721999999998
157,78,SDSS J074201.41+205520.5Â [de],49.0,0.041047284,0.09659721999999998
158,80,DENIS-P J0751164-253043Â [de],55.0,0.067775748,0.10584589
159,81,2MASS J07522390+1612157,60.0,0.00191872188,6.987883999999999
160,82,DENIS J081730.0-615520,16.1,0.042001872,0.09659721999999998
161,85,2MASS J08251968+2115521Â [de],35.0,0.049638576000000004,0.10070773999999999
162,86,SDSSp J083008.12+482847.4Â [de],43.0,0.045820224,0.10173536999999999
163,87,LHS 2021,55.0,0.084003744,0.11817744999999999
164,88,SDSS J083048.80+012831.1Â [de],77.0,0.043911048,0.09865247999999999
165,89,2MASSI J0835425-081923Â [de],23.53,0.059184456,0.102763
166,90,2MASSI J0847287-153237Â [de],43.0,0.061093632,0.102763
167,91,2MASS J08533619-0329321,27.6,0.073503276,0.10995641
168,92,2MASSI J0859254-194926Â [de],50.0,0.0477294,0.10070773999999999
169,94,2MASSI J0937347+293142,20.0,0.040092696000000004,0.09659721999999998
170,95,2MASS 0939âˆ’2448,17.4,0.030546816,0.09762484999999999
171,96,2MASS J09490860-1545485Â [de],59.0,0.046774812,0.09865247999999999
172,97,2MASS J10073369-4555147,46.0,0.042001872,0.09659721999999998
173,98,2MASSI J1010148-040649Â [de],55.0,0.048683988000000004,0.10070773999999999
174,101,2MASS J10224821+5825453Â [de],60.0,0.025773876,0.14489582999999998
175,102,2MASSW J1036530-344138Â [de],53.0,0.046774812,0.09968010999999999
176,103,2MASS J1047538+212423Â [de],34.4,0.040092696000000004,0.09659721999999998
177,104,DEN 1048-3956,13.15,0.073503276,0.10995641
178,105,Luhman 16B,6.516,0.041047284,0.10481826
179,106,Luhman 16A,6.516,0.03818352,0.10379063
180,107,DENIS-P J1058.7âˆ’1548,49.0,0.061093632,0.102763
181,108,TWA 28,180.0,0.034365168,0.24560357
182,109,Cha 110913-773444,163.0,0.007636704,0.18497339999999998
183,111,SDSS J111010.01+011613.1,63.0,0.008591292,0.12742612
184,112,2MASS J11145133âˆ’2618235,18.2,0.031501404000000004,0.09865247999999999
185,113,TWA 26,137.0,0.028637640000000002,0.2260786
186,115,2MASS J11544223-3400390Â [de],129.0,0.035319756,0.1541445
187,116,2MASSW J1155395-372735Â [de],31.0,0.061093632,0.102763
188,119,2MASS J12074836-3900043,217.0,0.016227996,0.17572473
189,120,2MASSI J1217110-031113Â [de],36.0,0.040092696000000004,0.09659721999999998
190,123,2M 1237+6526,45.6,0.039138108,0.09659721999999998
191,125,TWA 29,262.0,0.001909176,2.5690749999999998
192,126,SDSSp J125453.90-012247.4Â [de],38.0,0.044865636,0.10070773999999999
193,127,Kelu-1A,61.0,0.060139044,0.10070773999999999
194,128,Kelu-1B,61.0,0.055366104,0.10070773999999999
195,129,2MASS J13204427+0409045,101.0,0.063957396,0.10379063
196,130,SDSSp J132629.82-003831.5Â [de],65.0,0.048683988000000004,0.09968010999999999
197,131,SDSSp J134646.45-003150.4Â [de],48.0,0.042001872,0.09659721999999998
198,132,2MASS J13595510-4034582,51.0,0.060139044,0.102763
199,133,ULAS J141623.94+134836.3,29.7,0.030546816,0.09865247999999999
200,134,SDSS J141659.78+500626.4Â [de],149.0,0.056320692,0.10173536999999999
201,135,DENIS-P J142527.97-365023.4Â [de],38.0,0.020046348000000002,0.13564716
202,136,LHS 2924,38.5,0.072548688,0.10892878
203,137,2MASS J14392837+1929150,47.0,0.068730336,0.10584589
204,138,LSPM J1440+1339,72.0,0.087822096,0.12228796999999998
205,139,2MASS J14482563+1031590Â [de],47.0,0.056320692,0.10173536999999999
206,140,CFBDSIR 1458+10A,104.0,0.0105959268,0.1541445
207,141,CFBDSIR 1458+10B,104.0,0.008591292,0.13359189999999999
208,142,TVLM 513-46546,35.1,0.07159410000000001,0.10790115
209,143,2MASS 1503+2525,20.7,0.042001872,0.09659721999999998
210,144,CFBDS J150411+102717,71.0,0.042001872,0.09659721999999998
211,145,2MASSW J1506544+132106Â [de],46.0,0.065866572,0.10481826
212,146,2MASS 1507âˆ’1627,23.9,0.057275280000000005,0.10173536999999999
213,147,TVLM 868-110639,53.0,0.075412452,0.11098404
214,149,2MASSW J1515008+484742Â [de],34.0,0.054411516,0.10173536999999999
215,150,2MASSI J1526140+204341Â [de],67.0,0.051547752,0.10070773999999999
216,151,DENIS-P J153941.96-052042.4Â [de],51.0,0.060139044,0.102763
217,152,2MASS J15462718-3325111Â [de],37.0,0.042001872,0.09659721999999998
218,153,2MASSW J1552591+294849Â [de],68.0,0.028637640000000002,0.14695108999999998
219,154,2MASSW J1555157-095605Â [de],44.0,0.067775748,0.10584589
220,155,2MASS J16150413+1340079Â [de],48.0,0.040092696000000004,0.09659721999999998
221,156,SDSSp J162414.37+002915.6Â [de],36.0,0.041047284,0.09659721999999998
222,157,2MASS J16262034+3925190Â [de],110.0,0.067775748,0.10584589
223,158,2MASSW J1632291+190441Â [de],50.0,0.046774812,0.09968010999999999
224,159,WISEPA J164715.59+563208.2,28.0,0.039138108,0.09659721999999998
225,160,LSPM J1658+7027Â [de],60.0,0.069684924,0.10687352
226,161,2MASSI J1726000+153819,114.0,0.022910112,0.14386819999999997
227,163,SDSSp J175032.96+175903.9,90.0,0.044865636,0.09968010999999999
228,164,2MASS J18283572-4849046,39.0,0.04295646,0.09762484999999999
229,165,LSR J1835+3259,18.5,0.073503276,0.10995641
230,166,2MASSW J1841086+311727,138.0,0.063957396,0.10379063
231,167,2MASS J18432213+4040209,46.0,0.091640448,0.12537086
232,168,2MASS J20004841-7523070,105.0,0.0238647,0.19319443999999997
233,169,SDSS J204749.61-071818.3,65.0,0.043911048,0.09865247999999999
234,170,2MASSI J2057540-025230,47.0,0.06682116,0.10481826
235,172,2MASSI J2104149-103736,62.0,0.065866572,0.10481826
236,173,PSO J318.5âˆ’22,80.0,0.0062048220000000005,0.15722739
237,174,HB 2124-4228,113.0,0.089731272,0.12434322999999999
238,175,2MASS J21392676+0220226,32.1,0.043911048,0.09865247999999999
239,176,2MASS J21481628+4003593,26.3,0.05250234,0.10173536999999999
240,178,2MASSW J2206450-421721,93.0,0.021000936,0.13667479
241,179,2MASSW J2208136+292121,154.0,0.025773876,0.14489582999999998
242,180,2MASSW J2224438-015852,38.0,0.058229868000000004,0.10173536999999999
243,181,2MASS J22282889-4310262,35.0,0.040092696000000004,0.09659721999999998
244,182,2MASS J22373255+3922398,64.0,0.069684924,0.10687352
245,183,2MASSW J2244316+204343,56.0,0.011455056,0.13256426999999998
246,184,2MASS J23224684-3133231,56.0,0.022910112,0.14284056999999997
247,185,2MASS J23225299-6151275,148.0,0.016227996,0.16339317
248,186,2MASS J23515044-2537367,67.0,0.084003744,0.11920507999999998
249,187,2MASSI J2356547-155310,74.0,0.07636704,0.11201167000000001
250,225,WISE 0410+1502,20.0,0.005727528,0.12023270999999998
251,229,WISE 0458+6434A,35.9,0.014318820000000001,0.4316046
252,230,WISE 0458+6434B,35.9,0.00954588,0.39049939999999994
253,284,WISE 1405+5534,25.3,0.028637640000000002,0.08837618
